epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4985.54,0.77716,0.80275,1.13587,0.90858,0.99436,0.98591,0.75893,0.80013,0.80184,1.10347,0.00038375,0.00038375,0.00038375
72,5061.15,0.78664,0.7511,1.10871,0.90856,0.99414,0.98591,0.71935,0.8648,0.83733,1.13057,0.000371375,0.000371375,0.000371375
73,5138.59,0.77244,0.81323,1.17303,0.92454,0.9,0.97833,0.69327,1.13098,0.84924,1.32129,0.000359,0.000359,0.000359
74,5212.42,0.76695,0.95177,1.15878,0.90855,0.99402,0.98591,0.7005,1.16779,0.80269,1.30204,0.000346625,0.000346625,0.000346625
75,5283.92,0.75218,0.73619,1.14291,0.90455,1,0.98591,0.72937,0.87907,0.66243,1.14867,0.00033425,0.00033425,0.00033425
76,5343.03,0.70985,0.71139,1.08497,0.99457,1,0.995,0.77796,0.74243,0.65917,1.10162,0.000321875,0.000321875,0.000321875
77,5402.38,0.72424,0.69053,1.09303,0.98994,1,0.995,0.76505,0.74269,0.62472,1.12016,0.0003095,0.0003095,0.0003095
78,5461.34,0.73127,0.75984,1.14797,0.99089,1,0.995,0.78692,0.7873,0.62004,1.16898,0.000297125,0.000297125,0.000297125
79,5534.52,0.69471,0.73393,1.08441,0.9935,1,0.995,0.77547,0.76427,0.63304,1.16306,0.00028475,0.00028475,0.00028475
80,5613.65,0.75665,0.75607,1.15446,0.99711,1,0.995,0.8016,0.72125,0.65501,1.12707,0.000272375,0.000272375,0.000272375
81,5690.14,0.71713,0.71794,1.15902,1,0.99626,0.995,0.79773,0.70607,0.7019,1.1114,0.00026,0.00026,0.00026
82,5762.48,0.65803,0.72938,1.08317,1,0.99505,0.995,0.80878,0.69599,0.72539,1.1115,0.000247625,0.000247625,0.000247625
83,5860.8,0.68212,0.71495,1.10371,1,0.99573,0.995,0.80908,0.71474,0.73397,1.12119,0.00023525,0.00023525,0.00023525
84,5943.22,0.65609,0.64959,1.09126,1,0.99867,0.995,0.80156,0.7985,0.7137,1.16955,0.000222875,0.000222875,0.000222875
85,6014.53,0.6801,0.70978,1.11972,0.99739,1,0.995,0.78562,0.87219,0.72016,1.17387,0.0002105,0.0002105,0.0002105
86,6088.21,0.64278,0.65948,1.08327,0.99439,1,0.995,0.80163,0.77792,0.66563,1.13377,0.000198125,0.000198125,0.000198125
87,6159.03,0.69391,0.70148,1.09653,0.99015,1,0.995,0.84523,0.70445,0.63356,1.0981,0.00018575,0.00018575,0.00018575
88,6305.24,0.68862,0.67654,1.09019,0.9869,1,0.995,0.8535,0.6875,0.6178,1.09737,0.000173375,0.000173375,0.000173375
89,6401.85,0.67675,0.62117,1.07909,0.97182,1,0.995,0.82093,0.74596,0.64672,1.12951,0.000161,0.000161,0.000161
90,6555.83,0.66776,0.6861,1.11073,0.96545,1,0.995,0.78388,0.81193,0.69203,1.14013,0.000148625,0.000148625,0.000148625
91,6821.78,0.65192,0.87162,1.22096,0.96738,1,0.995,0.77865,0.87485,0.6951,1.16628,0.00013625,0.00013625,0.00013625
92,7081.9,0.48946,0.72344,1.02317,0.97739,1,0.995,0.77375,0.90536,0.70627,1.19045,0.000123875,0.000123875,0.000123875
93,7308.59,0.52409,0.68381,1.01391,0.98984,1,0.995,0.77013,0.84725,0.70206,1.18486,0.0001115,0.0001115,0.0001115
94,7576.99,0.53537,0.87633,1.04286,0.99296,1,0.995,0.80005,0.74885,0.70107,1.15274,9.9125e-05,9.9125e-05,9.9125e-05
95,7794.16,0.48737,0.69635,0.98314,0.99314,1,0.995,0.8135,0.7068,0.68976,1.14845,8.675e-05,8.675e-05,8.675e-05
96,7976.84,0.46496,0.6802,0.97214,0.99231,1,0.995,0.81089,0.70292,0.69217,1.14714,7.4375e-05,7.4375e-05,7.4375e-05
97,8094.14,0.49917,0.6421,0.99418,0.99161,1,0.995,0.83351,0.72052,0.6751,1.15286,6.2e-05,6.2e-05,6.2e-05
98,8171.64,0.59617,0.83279,1.14415,0.99471,1,0.995,0.84017,0.736,0.65199,1.16206,4.9625e-05,4.9625e-05,4.9625e-05
99,8241.71,0.42664,0.60271,0.97636,0.99072,1,0.995,0.82286,0.7525,0.62814,1.16888,3.725e-05,3.725e-05,3.725e-05
100,8310.83,0.58192,0.66179,1.1437,0.9905,1,0.995,0.81727,0.75541,0.62195,1.16986,2.4875e-05,2.4875e-05,2.4875e-05
