epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,12369.2,0.87662,0.53373,1.1461,0.83333,1,0.96167,0.71708,1.20729,1.78205,1.45974,0.00048275,0.00048275,0.00048275
64,12551.7,0.86558,0.59856,1.13653,1,0.78896,0.995,0.617,1.44047,1.83822,1.7064,0.000470375,0.000470375,0.000470375
65,12735.4,0.84779,0.5432,1.13282,1,0.59648,0.76333,0.482,1.17269,2.49001,1.56474,0.000458,0.000458,0.000458
66,12932.3,0.85133,0.57163,1.1457,1,1,0.995,0.6382,1.23444,2.3411,1.59356,0.000445625,0.000445625,0.000445625
67,13191.3,0.83072,0.53283,1.12424,1,0.98156,0.995,0.64658,1.24798,1.19676,1.62959,0.00043325,0.00043325,0.00043325
68,13403.1,0.82031,0.53596,1.13545,1,0.89767,0.995,0.56892,1.40329,1.68297,1.85008,0.000420875,0.000420875,0.000420875
69,13603.3,0.82997,0.52017,1.13225,1,0.98451,0.995,0.55783,1.48479,1.25963,1.85365,0.0004085,0.0004085,0.0004085
70,13810.1,0.82442,0.5079,1.12385,0.99409,1,0.995,0.5687,1.52862,0.86764,1.99306,0.000396125,0.000396125,0.000396125
71,14008.5,0.82009,0.49286,1.12447,0.99303,1,0.995,0.57762,1.44862,1.43597,1.84056,0.00038375,0.00038375,0.00038375
72,14185.1,0.83871,0.52847,1.14513,1,0.89037,0.995,0.65836,1.14784,1.58969,1.54879,0.000371375,0.000371375,0.000371375
73,14400.8,0.82934,0.53883,1.12707,1,0.93526,0.995,0.65744,1.32418,1.67723,1.44102,0.000359,0.000359,0.000359
74,14683,0.78551,0.49146,1.10186,1,0.73205,0.995,0.64921,1.09714,2.15918,1.49131,0.000346625,0.000346625,0.000346625
75,14956.5,0.76949,0.50843,1.08736,1,0.78953,0.995,0.62235,1.34407,1.84239,1.51409,0.00033425,0.00033425,0.00033425
76,15208.2,0.7966,0.49277,1.09422,0.98391,1,0.995,0.66352,1.30824,0.83749,1.59842,0.000321875,0.000321875,0.000321875
77,15453.4,0.79325,0.48665,1.10642,0.97731,1,0.995,0.64108,1.30305,0.97747,1.64638,0.0003095,0.0003095,0.0003095
78,15715.6,0.77988,0.48915,1.10692,0.83333,1,0.995,0.68367,1.39176,1.63665,1.73975,0.000297125,0.000297125,0.000297125
79,15910.7,0.77993,0.48255,1.10123,0.83333,1,0.995,0.61442,1.42934,1.79714,1.96019,0.00028475,0.00028475,0.00028475
80,16091.5,0.78722,0.48669,1.08897,0.83333,1,0.995,0.62058,1.3971,1.78395,1.9538,0.000272375,0.000272375,0.000272375
81,16273.4,0.79088,0.50831,1.11611,1,0.79737,0.995,0.63557,1.45352,1.5244,2.06135,0.00026,0.00026,0.00026
82,16453.4,0.79154,0.51685,1.11293,0.83333,1,0.995,0.63733,1.4664,1.56346,1.74669,0.000247625,0.000247625,0.000247625
83,16633.8,0.75929,0.46673,1.09272,0.83333,1,0.995,0.59963,1.29973,1.61497,1.68582,0.00023525,0.00023525,0.00023525
84,16812.6,0.76987,0.47857,1.0921,1,1,0.995,0.57843,1.37742,1.62967,1.71321,0.000222875,0.000222875,0.000222875
85,16991.8,0.76239,0.47974,1.08333,1,1,0.995,0.62535,1.28982,1.89368,1.71628,0.0002105,0.0002105,0.0002105
86,17172.7,0.74135,0.46894,1.07202,1,1,0.995,0.6879,1.18502,1.58823,1.54387,0.000198125,0.000198125,0.000198125
87,17352.5,0.73751,0.45318,1.08606,1,1,0.995,0.63907,1.33103,1.71684,1.65909,0.00018575,0.00018575,0.00018575
88,17532.3,0.75543,0.48526,1.09115,1,1,0.995,0.62147,1.45948,1.54048,1.87949,0.000173375,0.000173375,0.000173375
89,17711.7,0.71635,0.4668,1.0669,1,1,0.995,0.68302,1.27755,1.32712,1.67452,0.000161,0.000161,0.000161
90,17895.2,0.77346,0.47264,1.09552,0.83333,1,0.995,0.65929,1.28986,1.69713,1.66897,0.000148625,0.000148625,0.000148625
91,18076,0.60261,0.38239,1.03942,1,1,0.995,0.64445,1.32171,1.83799,1.76206,0.00013625,0.00013625,0.00013625
92,18253.4,0.58163,0.3523,1.04801,1,0.78871,0.995,0.66229,1.26722,1.84928,1.71197,0.000123875,0.000123875,0.000123875
93,18433.8,0.57227,0.35646,1.04014,1,0.79391,0.995,0.66761,1.25116,1.5862,1.70135,0.0001115,0.0001115,0.0001115
94,18613,0.56058,0.34043,1.02968,1,0.8753,0.995,0.64725,1.26023,1.47937,1.70215,9.9125e-05,9.9125e-05,9.9125e-05
95,18790.8,0.57097,0.33659,1.04033,1,0.87583,0.995,0.65551,1.22779,1.48934,1.65078,8.675e-05,8.675e-05,8.675e-05
96,18969.8,0.57024,0.33464,1.02485,1,0.79591,0.995,0.63244,1.33242,1.59458,1.71465,7.4375e-05,7.4375e-05,7.4375e-05
97,19148.6,0.54602,0.33118,1.02403,1,0.7911,0.995,0.67188,1.28445,1.69071,1.6523,6.2e-05,6.2e-05,6.2e-05
98,19326.5,0.54087,0.32417,1.01945,1,0.79015,0.995,0.67188,1.27469,1.71721,1.62271,4.9625e-05,4.9625e-05,4.9625e-05
99,19504.5,0.5357,0.32569,1.00831,1,0.78931,0.995,0.65069,1.28688,1.7683,1.68802,3.725e-05,3.725e-05,3.725e-05
100,19682,0.54377,0.32066,1.00922,1,0.78996,0.995,0.65069,1.29376,1.74221,1.71266,2.4875e-05,2.4875e-05,2.4875e-05
